                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 2.4035,                 5.2343,                 2.6902,                      0,                      0,                      0,                      0,                 3.5946,                   6.01,                 3.0943,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.3587,                 4.8736,                 2.4967,                      0,                      0,                      0,                      0,                 3.5946,                   6.01,                 3.0943,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 2.3244,                 4.9618,                 2.2095,                      0,                      0,                      0,                      0,                 3.5946,                   6.01,                 3.0943,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.7865,                 5.2545,                 2.7409,                      0,                      0,                      0,                      0,                 3.5801,                 6.0195,                 3.1018,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.2771,                 4.8518,                 2.4423,                      0,                      0,                      0,                      0,                 3.5801,                 6.0195,                 3.1018,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 2.0733,                 4.9581,                 2.3854,                      0,                      0,                      0,                      0,                 3.5801,                 6.0195,                 3.1018,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 2.5825,                 5.2653,                 2.8061,                      0,                      0,                      0,                      0,                 3.5801,                 6.0195,                 3.1018,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 2.1001,                 4.9074,                  2.319,                      0,                      0,                      0,                      0,                 3.5801,                 6.0195,                 3.1018,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 2.4682,                 4.9992,                 2.4587,                      0,                      0,                      0,                      0,                 3.5722,                  6.008,                 3.0995,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.9306,                 4.8885,                 2.1902,                      0,                      0,                      0,                      0,                 3.5722,                  6.008,                 3.0995,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 2.4832,                 5.1194,                 2.3751,                      0,                      0,                      0,                      0,                 3.5722,                  6.008,                 3.0995,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 2.4249,                 4.9611,                 2.4554,                      0,                      0,                      0,                      0,                 3.5722,                  6.008,                 3.0995,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 2.6604,                 5.0873,                 2.5469,                      0,                      0,                      0,                      0,                 3.5722,                  6.008,                 3.0995,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 2.0156,                 4.9675,                 2.2021,                      0,                      0,                      0,                      0,                 3.6383,                 6.0116,                 3.1283,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 2.7353,                 5.3989,                 2.8658,                      0,                      0,                      0,                      0,                 3.6383,                 6.0116,                 3.1283,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 2.1194,                  4.967,                   2.19,                      0,                      0,                      0,                      0,                 3.6383,                 6.0116,                 3.1283,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 2.4187,                  5.111,                 2.5989,                      0,                      0,                      0,                      0,                 3.6383,                 6.0116,                 3.1283,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.8195,                 5.0692,                 2.7534,                      0,                      0,                      0,                      0,                 3.6383,                 6.0116,                 3.1283,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 2.3814,                 5.1239,                 2.3051,                      0,                      0,                      0,                      0,                 3.6383,                 6.0116,                 3.1283,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 2.3532,                 5.0877,                 2.2823,                      0,                      0,                      0,                      0,                 3.6206,                 6.0016,                 3.1168,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 2.4836,                  5.188,                 2.2037,                      0,                      0,                      0,                      0,                 3.6206,                 6.0016,                 3.1168,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 2.5886,                  4.996,                 2.5409,                      0,                      0,                      0,                      0,                 3.6206,                 6.0016,                 3.1168,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 2.1731,                 4.9654,                 2.2395,                      0,                      0,                      0,                      0,                 3.6206,                 6.0016,                 3.1168,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                  2.016,                 4.8284,                  2.238,                      0,                      0,                      0,                      0,                 3.6206,                 6.0016,                 3.1168,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 2.6977,                 4.9851,                 2.6241,                      0,                      0,                      0,                      0,                 3.6206,                 6.0016,                 3.1168,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 2.4096,                 4.9802,                 2.3271,                      0,                      0,                      0,                      0,                 3.6824,                 6.0416,                 3.1666,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.3991,                 4.9366,                 2.5343,                      0,                      0,                      0,                      0,                 3.6824,                 6.0416,                 3.1666,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 2.1086,                 5.0523,                 2.3459,                      0,                      0,                      0,                      0,                 3.6824,                 6.0416,                 3.1666,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 2.5668,                 5.0907,                 2.4532,                      0,                      0,                      0,                      0,                 3.6824,                 6.0416,                 3.1666,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 2.2872,                 4.9567,                 2.6063,                      0,                      0,                      0,                      0,                 3.6824,                 6.0416,                 3.1666,             1.9802e-05,             1.9802e-05,             1.9802e-05
